student_id,persona,age,sleep_hours,study_hours,exercise_days,social_hours,screen_time_hours,commute_minutes,part_time_hours,caffeine_intake,mindfulness_minutes,financial_stress_score,academic_pressure_score,family_support_score,peer_support_score,self_efficacy_score,weekly_meals,home_noise_score,internet_speed,assignment_load,class_attendance,sleep_quality_score,appetite_change,headaches_per_week,anxiety_score,depression_score,monthly_income,monthly_expenses,extracurricular_hours,course_difficulty,gpa,major,housing_type,relationship_status,transportation_mode,part_time_job,study_location,club_membership,diet_type,scholarship_status,social_media_minutes,gaming_hours,Stress_Level
STU-00001,Working Student,18,6.4,5.13,0.05,1.07,5.45,31.21,17.92,1.06,11.52,7.54,6.47,6.58,5.36,4.48,15,1,112,5.93,77,5,4,2,3,3,2279,1856,5.41,7,4.0,Engineering,Dorm,Married,Bus,No,Library,No,Balanced,No,165,2.98,High
STU-00002,Average,21,7.2,5.07,3.55,4.3,5.32,25.68,0.0,1.31,9.18,2.54,5.27,7.79,4.67,7.46,9,2,94,6.26,89,8,2,1,6,3,652,807,2.48,7,3.27,Arts,Apartment,Single,Bike,No,Home,No,Balanced,No,48,2.88,Moderate
STU-00003,Topper,21,7.47,6.66,2.41,2.9,2.51,6.42,0.0,0.3,21.2,1.23,4.75,8.56,6.07,8.39,11,3,66,4.56,95,3,3,2,3,1,1865,1229,5.01,6,4.0,Computer Science,Dorm,Single,Bus,No,Dorm Room,No,Balanced,No,82,0.33,Low
STU-00004,Struggling,20,4.0,1.88,1.65,2.84,9.0,59.14,11.66,1.51,0.0,7.4,6.59,3.42,3.07,4.12,17,3,86,6.55,53,6,2,4,4,5,1351,771,2.38,5,4.0,Psychology,Family Home,In Relationship,Walk,No,Dorm Room,No,High Protein,No,93,0.0,High
STU-00005,Working Student,21,5.71,4.34,3.31,2.74,4.81,48.28,20.14,3.69,8.73,4.34,4.9,7.31,6.87,5.37,13,5,62,4.66,83,6,2,2,5,6,1882,2051,0.0,6,2.78,Nursing,Dorm,Single,Car,Yes,Library,No,High Protein,No,100,3.8,High
STU-00006,Average,19,6.32,5.09,2.99,2.57,5.1,22.05,11.55,3.29,6.88,3.07,3.84,5.29,6.21,7.77,12,2,36,5.29,77,5,1,2,1,1,3716,699,2.09,9,4.0,Biology,Apartment,Single,Walk,No,Library,Yes,Balanced,No,112,0.0,Moderate
STU-00007,Topper,19,7.33,8.22,3.22,3.46,4.25,18.0,0.0,1.22,17.22,5.43,7.09,7.46,5.58,6.17,18,3,102,2.73,96,7,0,1,5,3,1537,1528,3.95,6,3.94,Business,Dorm,Single,Bus,No,Dorm Room,No,Balanced,No,172,1.41,Moderate
STU-00008,Average,23,6.97,6.88,4.1,4.86,6.92,23.95,6.48,1.33,12.4,2.45,6.79,4.59,6.82,5.95,18,4,136,6.45,73,6,0,1,7,5,1171,890,4.57,4,2.86,Arts,Dorm,Single,Bus,No,Dorm Room,Yes,Fast Food,No,30,0.94,High
STU-00009,Topper,21,7.59,6.0,4.14,4.39,4.43,19.88,0.0,0.4,16.82,2.29,5.66,8.2,5.23,7.35,18,2,69,5.26,95,6,4,3,6,4,3895,1456,0.09,9,2.97,Business,Apartment,Single,Car,No,Dorm Room,No,High Protein,Yes,35,0.0,Moderate
STU-00010,Working Student,22,5.91,4.91,2.23,3.08,4.45,32.84,18.98,2.9,6.43,7.13,6.11,4.84,5.8,3.01,10,1,32,4.98,84,6,2,3,7,3,3018,1664,2.66,5,2.46,Psychology,Dorm,Single,Bike,Yes,Library,Yes,Balanced,Yes,30,3.67,High
STU-00011,Social Butterfly,19,6.84,4.57,3.16,4.74,6.45,16.91,0.0,2.56,10.01,5.17,6.06,5.84,6.25,8.74,20,3,94,6.9,78,7,2,2,2,1,200,818,3.49,5,4.0,Nursing,Apartment,Single,Bus,Yes,Cafe,No,Fast Food,No,51,2.01,High
STU-00012,Working Student,21,6.26,3.93,1.83,1.64,5.82,24.78,21.33,3.19,9.47,5.84,6.9,4.57,5.92,3.22,13,1,53,8.05,85,5,0,0,3,8,2191,1208,5.52,3,3.05,Engineering,Dorm,Single,Walk,No,Library,Yes,High Protein,No,67,4.4,High
STU-00013,Average,23,6.61,5.11,4.52,3.66,3.96,15.96,5.36,0.19,15.82,2.69,6.98,3.13,4.78,4.01,12,3,86,5.17,83,7,1,3,5,4,2301,1807,8.98,6,3.05,Engineering,Family Home,Single,Walk,No,Library,No,High Protein,No,74,3.62,High
STU-00014,Social Butterfly,22,6.65,3.06,2.73,4.59,4.01,21.71,0.0,2.8,19.49,3.12,6.04,3.11,4.3,5.82,11,4,140,3.97,78,7,4,0,5,7,313,703,3.57,5,3.61,Biology,Family Home,Single,Bus,No,Cafe,Yes,High Protein,Yes,147,0.0,High
STU-00015,Struggling,18,5.4,2.11,0.37,2.71,6.71,23.86,15.8,2.12,5.1,7.4,6.78,4.66,3.16,3.76,18,1,30,10.0,91,6,0,1,3,3,798,2006,5.65,3,3.55,Computer Science,Dorm,Married,Bus,Yes,Home,Yes,Vegetarian,No,97,5.33,High
STU-00016,Topper,22,7.22,5.58,3.25,4.58,3.88,5.0,0.0,0.37,15.26,2.39,3.15,5.06,7.08,6.87,6,4,97,4.07,82,8,2,5,5,4,1650,2172,5.88,8,2.94,Computer Science,Family Home,In Relationship,Bike,Yes,Library,Yes,High Protein,No,105,3.71,Low
STU-00017,Topper,17,6.33,5.52,2.72,4.45,3.95,9.75,0.0,1.73,10.19,1.23,5.87,6.73,7.28,7.48,16,1,90,4.73,83,4,3,1,2,3,2815,300,1.21,4,3.93,Engineering,Family Home,Single,Walk,Yes,Library,No,Balanced,Yes,129,3.4,Moderate
STU-00018,Struggling,23,6.07,1.88,0.0,2.1,7.61,47.98,12.07,2.19,2.32,7.02,7.1,2.58,6.26,6.62,17,2,111,8.9,72,9,3,3,5,4,200,1659,3.28,4,4.0,Arts,Dorm,In Relationship,Car,No,Library,Yes,Balanced,No,42,1.91,High
STU-00019,Athlete,21,6.4,4.85,5.96,2.39,4.43,17.54,0.0,1.81,14.35,1.0,4.67,7.49,7.68,8.13,14,2,63,4.61,89,9,4,2,1,3,1996,1459,3.23,6,2.95,Nursing,Family Home,Single,Bus,No,Home,No,Balanced,Yes,139,0.0,Low
STU-00020,Social Butterfly,21,6.41,6.26,0.0,4.79,6.72,9.85,2.86,0.92,6.63,3.01,7.31,8.2,5.36,8.68,14,6,88,5.67,87,10,3,1,6,3,1359,2236,4.57,7,3.21,Psychology,Apartment,Single,Walk,No,Library,Yes,High Protein,No,170,0.0,High
STU-00021,Average,21,5.69,5.67,2.87,1.36,2.85,19.89,3.34,1.51,11.83,3.84,6.74,4.67,4.28,4.78,15,5,79,2.25,72,5,1,1,4,3,2744,1127,2.6,7,2.43,Computer Science,Apartment,Single,Bike,Yes,Library,Yes,Balanced,No,55,0.65,High
STU-00022,Average,22,7.43,6.52,3.38,6.25,2.93,17.14,1.4,1.71,8.57,3.25,7.86,5.8,6.34,5.9,14,3,101,7.01,96,7,3,0,4,5,2579,1748,6.45,7,3.8,Psychology,Apartment,Single,Walk,Yes,Cafe,No,Balanced,Yes,50,0.72,High
STU-00023,Struggling,20,5.37,4.78,1.5,1.0,6.26,29.64,4.54,2.32,2.77,8.39,7.43,3.6,3.67,4.59,16,1,64,9.55,64,4,3,2,1,4,2462,1862,5.89,3,3.37,Arts,Family Home,In Relationship,Bus,No,Home,No,Fast Food,No,141,3.38,High
STU-00024,Average,20,5.92,4.3,3.5,4.2,5.37,26.03,2.88,2.28,14.27,1.65,7.33,5.4,3.65,4.84,11,3,83,5.06,88,7,2,2,5,1,1472,300,4.58,6,3.72,Computer Science,Dorm,Married,Bus,No,Home,Yes,Balanced,Yes,161,0.28,High
STU-00025,Struggling,19,4.23,2.41,1.83,1.04,6.97,17.58,9.18,2.72,12.34,4.93,8.87,4.21,4.29,4.45,15,3,126,7.36,78,5,2,0,5,6,1730,1462,2.05,6,2.4,Arts,Dorm,Single,Bus,Yes,Home,No,Balanced,Yes,124,2.2,High
STU-00026,Working Student,22,5.58,3.28,2.01,3.37,5.52,27.13,24.13,3.74,9.98,7.86,7.77,6.58,5.54,6.38,16,1,108,3.97,72,9,3,3,3,1,1584,1671,4.67,8,3.02,Computer Science,Dorm,Single,Walk,No,Home,No,Fast Food,Yes,114,1.56,High
